Transaction ID;Timestamp;Transaction Type;In/Out;Amount Fiat;Fiat;Amount Asset;Asset;Asset market price;Asset market price currency;Asset class;Product ID;Fee;Fee asset;Spread;Spread Currency;Tax Fiat
T1eeb87c6-676c-67e0-5359-a304eb139100;2024-01-21T17:45:02+01:00;buy;outgoing;11.46;EUR;22.00120081;XRP;0.52;EUR;Cryptocurrency;8;-;-;-;-;0.00
T1eeb8f81-4873-66f0-158a-bfb1fddf31e7;2024-01-22T08:30:47+01:00;buy;outgoing;10.00;EUR;19.63957838;XRP;0.51;EUR;Cryptocurrency;8;-;-;-;-;0.00
T1eeb8f84-ce54-6c80-6003-056ed5fbdce8;2024-01-22T08:31:50+01:00;buy;outgoing;10.00;EUR;0.11840737;SOL;84.45;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eeb8f86-a5b9-60d0-4b1e-2149097b6904;2024-01-22T08:32:40+01:00;buy;outgoing;10.00;EUR;0.00436979;ETH;2288.44;EUR;Cryptocurrency;5;-;-;-;-;0.00
T1eeb8f87-9f5d-6be0-ce02-1b83a349fa4f;2024-01-22T08:33:11+01:00;buy;outgoing;10.00;EUR;141.63318930;HBAR;0.07;EUR;Cryptocurrency;62;-;-;-;-;0.00
T1eeb8f88-b814-6890-c734-b2542b1c33d6;2024-01-22T08:33:37+01:00;buy;outgoing;10.00;EUR;21.23364099;ADA;0.47;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eeb977b-2544-6ce0-3460-9ff7caf8c7a6;2024-01-22T23:43:49+01:00;buy;outgoing;10.00;EUR;0.00458697;ETH;2180.09;EUR;Cryptocurrency;5;-;-;-;-;0.00
T1eeb977c-99ad-6b80-c3c3-c2a374a7a340;2024-01-22T23:44:26+01:00;buy;outgoing;10.00;EUR;0.12600607;SOL;79.36;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eeb977f-2049-6f20-20be-a58ed247f34f;2024-01-22T23:45:34+01:00;buy;outgoing;5.00;EUR;74.16532489;HBAR;0.07;EUR;Cryptocurrency;62;-;-;-;-;0.00
T1eeb9782-f7a1-6c90-9fff-3666d283cfdf;2024-01-22T23:47:18+01:00;buy;outgoing;5.00;EUR;11.07593615;ADA;0.45;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eeb9787-d8e8-63d0-663b-35bf9ef1d30c;2024-01-22T23:49:29+01:00;buy;outgoing;3.00;EUR;39.44925162;DOGE;0.08;EUR;Cryptocurrency;38;-;-;-;-;0.00
T1eeb9e10-0381-6680-77de-557a1fdb70c5;2024-01-23T12:17:34+01:00;buy;outgoing;10.00;EUR;0.13213313;SOL;75.68;EUR;Cryptocurrency;135;-;-;-;-;0.00
T1eeb9e10-eaca-6640-e034-eeadc2f706c8;2024-01-23T12:17:59+01:00;buy;outgoing;10.00;EUR;0.00473669;ETH;2111.18;EUR;Cryptocurrency;5;-;-;-;-;0.00
T1eeb9e13-a163-6c60-ea8c-2a6e7eccf4c4;2024-01-23T12:19:12+01:00;buy;outgoing;10.00;EUR;20.89170824;XRP;0.48;EUR;Cryptocurrency;8;-;-;-;-;0.00
T1eeb9e14-be28-62a0-ecc3-dcede3eb29f8;2024-01-23T12:19:41+01:00;buy;outgoing;5.00;EUR;77.17732277;HBAR;0.06;EUR;Cryptocurrency;62;-;-;-;-;0.00
T1eeb9e15-aac8-6560-5d97-2aa72aea1d48;2024-01-23T12:20:06+01:00;buy;outgoing;5.00;EUR;11.53785855;ADA;0.43;EUR;Cryptocurrency;22;-;-;-;-;0.00
T1eebd45f-b04c-6150-da81-8b20687bd6c3;2024-01-27T19:57:59+01:00;buy;outgoing;5.00;EUR;8.25729929;SEI;0.61;EUR;Cryptocurrency;2987;-;-;-;-;0.00
T1eebe807-45f0-6660-64d1-e2b51e88e057;2024-01-29T09:29:04+01:00;buy;outgoing;25.00;EUR;54.04346387;ADA;0.46;EUR;Cryptocurrency;22;-;-;-;-;0.00
